series,iteration,request_bytes,response_bytes,nanoseconds
echo 2 KiB,118,2048,2058,907733
echo 2 KiB,119,2048,2058,1049264
echo 2 KiB,120,2048,2058,748816
echo 2 KiB,121,2048,2058,749937
echo 2 KiB,122,2048,2058,673223
echo 2 KiB,123,2048,2058,863978
echo 2 KiB,124,2048,2058,869606
echo 2 KiB,125,2048,2058,1306467
echo 2 KiB,126,2048,2058,952770
echo 2 KiB,127,2048,2058,1004857
echo 2 KiB,128,2048,2058,980271
echo 2 KiB,129,2048,2058,1135302
echo 2 KiB,130,2048,2058,853912
echo 2 KiB,131,2048,2058,744770
echo 2 KiB,132,2048,2058,820102
echo 2 KiB,133,2048,2058,741194
echo 2 KiB,134,2048,2058,1030075
echo 2 KiB,135,2048,2058,951848
echo 2 KiB,136,2048,2058,843578
echo 2 KiB,137,2048,2058,853602
echo 2 KiB,138,2048,2058,965799
echo 2 KiB,139,2048,2058,890327
echo 2 KiB,140,2048,2058,1023385
echo 2 KiB,141,2048,2058,998038
echo 2 KiB,142,2048,2058,1421348
echo 2 KiB,143,2048,2058,964558
echo 2 KiB,144,2048,2058,1264825
echo 2 KiB,145,2048,2058,965018
echo 2 KiB,146,2048,2058,797068
echo 2 KiB,147,2048,2058,921754
echo 2 KiB,148,2048,2058,956135
echo 2 KiB,149,2048,2058,876717
echo 2 KiB,150,2048,2058,1147250
echo 2 KiB,151,2048,2058,1061963
echo 2 KiB,152,2048,2058,797058
echo 2 KiB,153,2048,2058,842406
echo 2 KiB,154,2048,2058,965028
echo 2 KiB,155,2048,2058,1354098
echo 2 KiB,156,2048,2058,869565
echo 2 KiB,157,2048,2058,726322
echo 2 KiB,158,2048,2058,853311
echo 2 KiB,159,2048,2058,980511
echo 2 KiB,160,2048,2058,837818
echo 2 KiB,161,2048,2058,4410252
echo 2 KiB,162,2048,2058,1638633
echo 2 KiB,163,2048,2058,906622
echo 2 KiB,164,2048,2058,953490
echo 2 KiB,165,2048,2058,683689
echo 2 KiB,166,2048,2058,783948
echo 2 KiB,167,2048,2058,1195832
echo 2 KiB,168,2048,2058,1234500
echo 2 KiB,169,2048,2058,1000611
echo 2 KiB,170,2048,2058,778470
echo 2 KiB,171,2048,2058,810649
echo 2 KiB,172,2048,2058,775055
echo 2 KiB,173,2048,2058,1023245
echo 2 KiB,174,2048,2058,731410
echo 2 KiB,175,2048,2058,945339
echo 2 KiB,176,2048,2058,872120
echo 2 KiB,177,2048,2058,610490
echo 2 KiB,178,2048,2058,728275
echo 2 KiB,179,2048,2058,650029
echo 2 KiB,180,2048,2058,546585
echo 2 KiB,181,2048,2058,945189
echo 2 KiB,182,2048,2058,886391
echo 2 KiB,183,2048,2058,1064366
echo 2 KiB,184,2048,2058,663038
echo 2 KiB,185,2048,2058,721115
echo 2 KiB,186,2048,2058,1310383
echo 2 KiB,187,2048,2058,882305
echo 2 KiB,188,2048,2058,504973
echo 2 KiB,189,2048,2058,848144
echo 2 KiB,190,2048,2058,648537
echo 2 KiB,191,2048,2058,624381
echo 2 KiB,192,2048,2058,1073791
echo 2 KiB,193,2048,2058,592313
echo 2 KiB,194,2048,2058,568107
echo 2 KiB,195,2048,2058,862165
echo 2 KiB,196,2048,2058,665903
echo 2 KiB,197,2048,2058,1038067
echo 2 KiB,198,2048,2058,887963
echo 2 KiB,199,2048,2058,1117926
push 64 KiB,0,65536,45,6169345
push 64 KiB,1,65536,45,4844349
push 64 KiB,2,65536,45,4661047
push 64 KiB,3,65536,45,7520558
push 64 KiB,4,65536,45,5758722
push 64 KiB,5,65536,45,4297585
push 64 KiB,6,65536,45,4609530
push 64 KiB,7,65536,45,4911890
push 64 KiB,8,65536,45,5705433
push 64 KiB,9,65536,45,3720284
push 64 KiB,10,65536,45,3624151
push 64 KiB,11,65536,45,3434909
push 64 KiB,12,65536,45,3126249
push 64 KiB,13,65536,45,3250374
push 64 KiB,14,65536,45,4106640
push 64 KiB,15,65536,45,3657851
push 64 KiB,16,65536,45,3357634
push 64 KiB,17,65536,45,3583210
push 64 KiB,18,65536,45,4103465
push 64 KiB,19,65536,45,4199608
push 64 KiB,20,65536,45,3084697
push 64 KiB,21,65536,45,7390704
push 64 KiB,22,65536,45,7351436
push 64 KiB,23,65536,45,5221131
push 64 KiB,24,65536,45,5190185
push 64 KiB,25,65536,45,3485755
push 64 KiB,26,65536,45,3616620
push 64 KiB,27,65536,45,6656020
push 64 KiB,28,65536,45,3727386
push 64 KiB,29,65536,45,3572404
push 64 KiB,30,65536,45,3541347
push 64 KiB,31,65536,45,3512886
push 64 KiB,32,65536,45,4109565
push 64 KiB,33,65536,45,4073280
push 64 KiB,34,65536,45,6113521
push 64 KiB,35,65536,45,7233190
push 64 KiB,36,65536,45,3460497
push 64 KiB,37,65536,45,4679404
push 64 KiB,38,65536,45,6147772
push 64 KiB,39,65536,45,4040552
push 64 KiB,40,65536,45,6037759
push 64 KiB,41,65536,45,6316023
push 64 KiB,42,65536,45,8801777
push 64 KiB,43,65536,45,5644322
push 64 KiB,44,65536,45,3220610
push 64 KiB,45,65536,45,3274040
push 64 KiB,46,65536,45,4907934
push 64 KiB,47,65536,45,8523353
push 64 KiB,48,65536,45,4911791
push 64 KiB,49,65536,45,4622429
push 64 KiB,50,65536,45,4221972
push 64 KiB,51,65536,45,5083265
push 64 KiB,52,65536,45,4691611
push 64 KiB,53,65536,45,3609129
push 64 KiB,54,65536,45,4765692
push 64 KiB,55,65536,45,6407810
push 64 KiB,56,65536,45,6154832
push 64 KiB,57,65536,45,5048314
push 64 KiB,58,65536,45,5000943
push 64 KiB,59,65536,45,4776409
push 64 KiB,60,65536,45,2921244
push 64 KiB,61,65536,45,4104888
push 64 KiB,62,65536,45,4843869
push 64 KiB,63,65536,45,4259458
push 64 KiB,64,65536,45,9117017
push 64 KiB,65,65536,45,6576992
push 64 KiB,66,65536,45,4712534
push 64 KiB,67,65536,45,5230596
push 64 KiB,68,65536,45,6257355
push 64 KiB,69,65536,45,5810930
push 64 KiB,70,65536,45,6856639
push 64 KiB,71,65536,45,5779122
push 64 KiB,72,65536,45,4973542
push 64 KiB,73,65536,45,5301641
push 64 KiB,74,65536,45,5342513
push 64 KiB,75,65536,45,5232858
push 64 KiB,76,65536,45,4279347
push 64 KiB,77,65536,45,5135895
push 64 KiB,78,65536,45,4780685
push 64 KiB,79,65536,45,3971759
push 64 KiB,80,65536,45,4696490
push 64 KiB,81,65536,45,4674757
push 64 KiB,82,65536,45,5476651
push 64 KiB,83,65536,45,5511944
push 64 KiB,84,65536,45,6431775
push 64 KiB,85,65536,45,5810189
push 64 KiB,86,65536,45,5787496
push 64 KiB,87,65536,45,6122154
push 64 KiB,88,65536,45,5111407
push 64 KiB,89,65536,45,6301592
push 64 KiB,90,65536,45,6014193
push 64 KiB,91,65536,45,4905962
push 64 KiB,92,65536,45,6620717
